189	97	1	1.33927415125e-05	6.4211774375e-06	0.000128367687406376	0.001	1	0	0	0	0	0	0	1
119	109	1	8.65806210625e-06	1.198150275e-06	0	0.001	1	0	0	0	0	0	0	2
140	97	1	7.8499163e-06	3.7636585e-06	7.52404278708815e-05	0.001	1	0	0	0	0	0	0	3
44	96	1	9.124742675e-06	1.2627321e-06	0	0.001	1	0	0	0	0	0	0	4
71	2	1	2.13182785125e-05	1.08051548625e-05	0	0.001	1	0	0	0	0	0	0	5
146	194	1	7.4603764375e-06	3.7812866875e-06	0	0.001	1	0	0	0	0	0	0	6
72	68	1	2.9885803975e-05	1.5147599275e-05	0	0.001	1	0	0	0	0	0	0	7
18	195	1	1.03607691875e-05	1.43378025e-06	0	0.001	1	0	0	0	0	0	0	8
184	2	1	3.383752359375e-05	1.218150849375e-05	0	0.001	1	0	0	0	0	0	0	9
101	94	1	3.991857175e-06	1.913904125e-06	3.82614323985147e-05	0.001	1	0	0	0	0	0	0	10
131	127	1	8.130415975e-06	1.1251317e-06	0	0.001	1	0	0	0	0	0	0	11
43	21	1	2.86169736375e-05	1.45044934875e-05	0	0.001	1	0	0	0	0	0	0	12
77	63	1	8.8700794375e-06	4.4957936875e-06	0	0.001	1	0	0	0	0	0	0	13
46	38	1	6.5381072125e-06	3.3138351625e-06	0	0.001	1	0	0	0	0	0	0	14
115	158	1	6.95950975e-06	3.52742275e-06	0	0.001	1	0	0	0	0	0	0	15
107	2	1	4.555380215e-05	6.3039858e-06	0	0.001	1	0	0	0	0	0	0	16
194	162	1	9.77574638125e-06	1.352821575e-06	0	0.001	1	0	0	0	0	0	0	17
24	129	1	6.789735075e-06	9.396009e-07	0	0.001	1	0	0	0	0	0	0	18
94	130	1	3.486574615e-05	4.8249138e-06	0	0.001	1	0	0	0	0	0	0	19
94	119	1	1.79356401e-05	8.5992795e-06	0.000171910780152158	0.001	1	0	0	0	0	0	0	20
59	31	1	5.70481741875e-06	7.89464025e-07	0	0.001	1	0	0	0	0	0	0	21
119	123	1	3.448400005625e-05	4.772085675e-06	0	0.001	1	0	0	0	0	0	0	22
180	179	1	1.7094713375e-06	2.3656605e-07	0	0.001	1	0	0	0	0	0	0	23
14	59	1	4.29297460125e-05	2.05827549375e-05	0.000411476038078109	0.001	1	0	0	0	0	0	0	24
